Taxa Code,NAME with AUTHOR,Species Name,GENUS,SPECIES,INFRASPECIES_RANK,INFRASPECIES,AUTHOR,FAMILY,VOLUME_REFERENCE,NSL_ID,,
mexicfmu,Mexichromis cf. multituberculata,Mexichromis cf. multituberculata,Mexichromis,cf. multituberculata,,,,,,,,
platdier,"Platydoris dierythros Fahey & Valdés, 2003.",Platydoris dierythros,Platydoris,dierythros,,,"Fahey & Valdés, 2003.",,,,,
gastsp1,Gastropteron sp. 1.,Gastropteron sp. 1.,Gastropteron,sp. 1.,,,,,,,,
polychil,"Polycera chilluna  Marcus, 1961",Polycera chilluna,Polycera,chilluna,,,"Marcus, 1961",,,,,
thurlivi,"Thuridilla livida (Baba, 1955)",Thuridilla livida,Thuridilla,livida,,,"(Baba, 1955)",,,,,
philpowe,"Philine powelli Rudman, 1970",Philine powelli,Philine,powelli,,,"Rudman, 1970",,,,,
aphekarp,"Aphelodoris karpa Wilson, 2003",Aphelodoris karpa,Aphelodoris,karpa,,,"Wilson, 2003",,,,,
okenbrun,"Okenia brunneomaculata  Gosliner, 2004",Okenia brunneomaculata,Okenia,brunneomaculata,,,"Gosliner, 2004",,,,,
phidindi,"Phidiana indica (Bergh, 1896)",Phidiana indica,Phidiana,indica,,,"(Bergh, 1896)",,,,,
hamianti,"Haminoea antillarum (dOrbigny, 1841)",Haminoea antillarum,Haminoea,antillarum,,,"(dOrbigny, 1841)",,,,,
hervcloa,"Herviella cloaca Rudman, 1980",Herviella cloaca,Herviella,cloaca,,,"Rudman, 1980",,,,,
austcati,"Austraeolis catina Marcus & Marcus, 1967",Austraeolis catina,Austraeolis,catina,,,"Marcus & Marcus, 1967",,,,,
phylcfbaba,"Phyllidia cf. babai Brunckhorst, 1993",Phyllidia cf. babai,Phyllidia,cf. babai,,,"Brunckhorst, 1993",,,,,
chrstria,"Chromodoris striatella  Bergh, 1876",Chromodoris striatella,Chromodoris,striatella,,,"Bergh, 1876",,,,,
costkuro,"Costasiella kuroshimae  Ichikawa, 1993",Costasiella kuroshimae,Costasiella,kuroshimae,,,"Ichikawa, 1993",,,,,
halgsp3,"Halgerda cf willeyi Eliot, 1904",Halgerda cf willeyi,Halgerda,cf willeyi,,,"Eliot, 1904",,,,,
hoplflam,"Hoplodoris flammea  Fahey & Gosliner, 2003",Hoplodoris flammea,Hoplodoris,flammea,,,"Fahey & Gosliner, 2003",,,,,
philgard,"Philinopsis gardineri (Eliot, 1903)",Philinopsis gardineri,Philinopsis,gardineri,,,"(Eliot, 1903)",,,,,
philunk,Philine auriformis Species 2 from California.,Philine auriformis Species 2 from California.,Philine,auriformis,,Species 2 from California.,,,,,,
